flight_number,aircraft_tail,origin_iata,destination_iata,scheduled_departure,scheduled_arrival,hour_of_day,day_of_week,is_weekend,month,turnaround_time_min,dep_temperature_c,dep_wind_speed_kmh,dep_visibility_m,dep_humidity_pct,dep_congestion_ratio
FL1183,VT-009,BLR,HYD,2026-04-04 13:34:00,2026-04-04 14:45:00,13,5,1,4,50,27.1,10.77,4845.38,75.95,0.51
FL1184,VT-009,HYD,PNQ,2026-04-04 15:35:00,2026-04-04 17:01:00,15,5,1,4,52,26.2,18.27,9494.64,76.63,0.45
FL1185,VT-009,PNQ,DEL,2026-04-04 17:53:00,2026-04-04 19:25:00,17,5,1,4,37,40.53,5.62,4098.11,69.75,0.34
FL1186,VT-009,BLR,HYD,2026-04-05 04:02:00,2026-04-05 06:11:00,4,6,1,4,51,40.24,11.68,8167.3,45.33,0.35
FL1187,VT-009,HYD,PNQ,2026-04-05 07:02:00,2026-04-05 09:13:00,7,6,1,4,51,29.62,19.56,5963.93,74.42,0.6
FL1188,VT-009,PNQ,DEL,2026-04-05 10:04:00,2026-04-05 11:04:00,10,6,1,4,77,32.83,20.99,7557.57,53.61,0.71
FL1189,VT-010,DEL,BOM,2026-04-01 02:00:00,2026-04-01 03:32:00,2,2,0,4,70,27.75,12.22,2732.66,85.87,0.4
FL1190,VT-010,BOM,BLR,2026-04-01 04:42:00,2026-04-01 06:43:00,4,2,0,4,46,29.7,8.7,6335.21,83.65,0.81
FL1191,VT-010,BLR,HYD,2026-04-01 07:29:00,2026-04-01 09:23:00,7,2,0,4,87,32.48,21.13,7270.27,74.61,0.89
FL1192,VT-010,DEL,BOM,2026-04-01 18:50:00,2026-04-01 21:05:00,18,2,0,4,54,29.72,9.42,9901.34,87.2,0.33
FL1193,VT-010,BOM,BLR,2026-04-01 21:59:00,2026-04-01 23:20:00,21,2,0,4,86,23.36,19.11,9401.99,49.03,0.7
FL1194,VT-010,BLR,HYD,2026-04-02 00:46:00,2026-04-02 02:19:00,0,3,0,4,59,25.68,23.49,9768.47,87.21,0.63
FL1195,VT-010,DEL,BOM,2026-04-02 11:18:00,2026-04-02 12:39:00,11,3,0,4,39,34.21,22.24,8756.4,55.96,0.88
FL1196,VT-010,BOM,BLR,2026-04-02 13:18:00,2026-04-02 15:29:00,13,3,0,4,88,30.38,9.6,2964.54,43.85,0.79
FL1197,VT-010,BLR,HYD,2026-04-02 16:57:00,2026-04-02 18:39:00,16,3,0,4,31,28.15,11.8,7798.13,43.27,0.52
FL1198,VT-010,DEL,BOM,2026-04-03 03:10:00,2026-04-03 04:19:00,3,4,0,4,59,35.79,11.38,7007.13,84.3,0.73
FL1199,VT-010,BOM,BLR,2026-04-03 05:18:00,2026-04-03 06:55:00,5,4,0,4,35,30.79,9.66,2195.21,83.5,0.31
FL1200,VT-010,BLR,HYD,2026-04-03 07:30:00,2026-04-03 08:33:00,7,4,0,4,37,30.33,23.78,8390.27,89.9,0.55
FL1201,VT-010,DEL,BOM,2026-04-03 17:10:00,2026-04-03 18:33:00,17,4,0,4,82,34.26,20.34,5215.45,63.99,0.74
FL1202,VT-010,BOM,BLR,2026-04-03 19:55:00,2026-04-03 22:03:00,19,4,0,4,82,28.22,13.43,7900.66,51.94,0.38
FL1203,VT-010,BLR,HYD,2026-04-03 23:25:00,2026-04-04 00:29:00,23,4,0,4,35,35.81,12.09,4297.91,54.82,0.46
FL1204,VT-010,DEL,BOM,2026-04-04 09:04:00,2026-04-04 10:41:00,9,5,1,4,43,29.86,12.69,7437.18,50.91,0.96
FL1205,VT-010,BOM,BLR,2026-04-04 11:24:00,2026-04-04 13:40:00,11,5,1,4,48,30.94,20.73,2715.29,60.88,0.92
FL1206,VT-010,BLR,HYD,2026-04-04 14:28:00,2026-04-04 16:11:00,14,5,1,4,58,29.8,17.27,3336.27,89.56,0.46
FL1207,VT-010,DEL,BOM,2026-04-05 01:09:00,2026-04-05 03:38:00,1,6,1,4,71,32.7,23.85,7197.17,70.39,0.66
FL1208,VT-010,BOM,BLR,2026-04-05 04:49:00,2026-04-05 07:02:00,4,6,1,4,55,27.45,9.41,3491.51,78.98,0.55
FL1209,VT-010,BLR,HYD,2026-04-05 07:57:00,2026-04-05 09:44:00,7,6,1,4,57,27.88,6.16,9752.82,84.19,0.95
FL1210,VT-011,BLR,HYD,2026-04-01 02:00:00,2026-04-01 03:08:00,2,2,0,4,40,35.68,18.92,3231.17,80.79,0.46
FL1211,VT-011,HYD,PNQ,2026-04-01 03:48:00,2026-04-01 05:44:00,3,2,0,4,64,27.72,9.48,6295.8,69.65,0.71
FL1212,VT-011,PNQ,DEL,2026-04-01 06:48:00,2026-04-01 09:16:00,6,2,0,4,69,27.55,22.77,9645.21,83.11,0.87
FL1213,VT-011,BLR,HYD,2026-04-01 18:25:00,2026-04-01 19:28:00,18,2,0,4,43,28.45,18.1,6406.86,44.35,0.59
FL1214,VT-011,HYD,PNQ,2026-04-01 20:11:00,2026-04-01 22:38:00,20,2,0,4,48,24.48,19.47,5967.01,44.05,0.45
FL1215,VT-011,PNQ,DEL,2026-04-01 23:26:00,2026-04-02 01:28:00,23,2,0,4,38,27.08,18.67,2609.05,82.56,0.65
FL1216,VT-011,BLR,HYD,2026-04-02 10:06:00,2026-04-02 11:40:00,10,3,0,4,81,40.11,21.49,4782.47,73.9,0.7
FL1217,VT-011,HYD,PNQ,2026-04-02 13:01:00,2026-04-02 14:39:00,13,3,0,4,65,27.88,10.34,9029.04,79.87,0.76
FL1218,VT-011,PNQ,DEL,2026-04-02 15:44:00,2026-04-02 17:19:00,15,3,0,4,32,33.28,18.95,7441.13,70.93,0.83
FL1219,VT-011,BLR,HYD,2026-04-03 01:51:00,2026-04-03 04:07:00,1,4,0,4,56,32.03,8.17,9046.97,83.59,0.32
FL1220,VT-011,HYD,PNQ,2026-04-03 05:03:00,2026-04-03 06:48:00,5,4,0,4,33,29.33,11.7,7948.07,48.04,0.87
FL1221,VT-011,PNQ,DEL,2026-04-03 07:21:00,2026-04-03 09:03:00,7,4,0,4,68,30.59,21.64,6059.74,40.32,0.5
FL1222,VT-011,BLR,HYD,2026-04-03 18:11:00,2026-04-03 20:14:00,18,4,0,4,84,30.76,17.64,4078.43,71.7,0.68
FL1223,VT-011,HYD,PNQ,2026-04-03 21:38:00,2026-04-04 00:07:00,21,4,0,4,87,30.19,20.6,2855.85,78.05,0.68
FL1224,VT-011,PNQ,DEL,2026-04-04 01:34:00,2026-04-04 03:52:00,1,5,1,4,90,29.62,17.65,9456.22,45.13,0.96
FL1225,VT-011,BLR,HYD,2026-04-04 13:22:00,2026-04-04 14:58:00,13,5,1,4,53,31.12,18.76,2542.7,55.05,0.8
FL1226,VT-011,HYD,PNQ,2026-04-04 15:51:00,2026-04-04 18:20:00,15,5,1,4,90,30.53,11.92,6967.32,42.29,0.91
FL1227,VT-011,PNQ,DEL,2026-04-04 19:50:00,2026-04-04 21:19:00,19,5,1,4,52,27.2,24.47,9751.02,77.48,0.39
FL1228,VT-011,BLR,HYD,2026-04-05 06:11:00,2026-04-05 07:18:00,6,6,1,4,76,36.26,18.67,5567.22,53.68,1.0
FL1229,VT-011,HYD,PNQ,2026-04-05 08:34:00,2026-04-05 10:29:00,8,6,1,4,56,29.74,13.52,5611.1,48.18,0.86
FL1230,VT-011,PNQ,DEL,2026-04-05 11:25:00,2026-04-05 13:26:00,11,6,1,4,64,25.92,6.65,7443.99,72.73,0.49
FL1231,VT-012,BLR,HYD,2026-04-01 03:00:00,2026-04-01 04:47:00,3,2,0,4,77,32.83,24.02,3208.46,61.62,0.96
FL1232,VT-012,HYD,PNQ,2026-04-01 06:04:00,2026-04-01 08:32:00,6,2,0,4,37,37.39,12.95,4193.72,89.2,0.59
FL1233,VT-012,PNQ,DEL,2026-04-01 09:09:00,2026-04-01 11:08:00,9,2,0,4,63,25.72,22.88,3839.64,50.66,0.32
FL1234,VT-012,BLR,HYD,2026-04-01 20:11:00,2026-04-01 21:21:00,20,2,0,4,56,24.99,22.29,5785.68,88.41,0.43
FL1235,VT-012,HYD,PNQ,2026-04-01 22:17:00,2026-04-01 23:46:00,22,2,0,4,62,35.78,22.37,8212.77,78.55,0.89
FL1236,VT-012,PNQ,DEL,2026-04-02 00:48:00,2026-04-02 02:19:00,0,3,0,4,77,32.57,7.62,2260.21,86.04,0.73
FL1237,VT-012,BLR,HYD,2026-04-02 11:36:00,2026-04-02 14:00:00,11,3,0,4,62,35.32,20.93,5852.18,45.87,0.39
FL1238,VT-012,HYD,PNQ,2026-04-02 15:02:00,2026-04-02 16:13:00,15,3,0,4,66,27.29,9.01,5932.76,43.21,0.71
FL1239,VT-012,PNQ,DEL,2026-04-02 17:19:00,2026-04-02 19:30:00,17,3,0,4,79,37.2,10.38,8380.47,55.52,0.62
FL1240,VT-012,BLR,HYD,2026-04-03 04:49:00,2026-04-03 05:53:00,4,4,0,4,76,28.19,17.0,4333.3,74.75,0.9
FL1241,VT-012,HYD,PNQ,2026-04-03 07:09:00,2026-04-03 08:48:00,7,4,0,4,90,20.3,20.6,2316.95,64.03,0.37
FL1242,VT-012,PNQ,DEL,2026-04-03 10:18:00,2026-04-03 12:43:00,10,4,0,4,62,29.99,17.36,7619.72,67.98,0.31
FL1243,VT-012,BLR,HYD,2026-04-03 21:45:00,2026-04-03 22:52:00,21,4,0,4,31,25.37,11.53,6141.69,44.39,0.55
FL1244,VT-012,HYD,PNQ,2026-04-03 23:23:00,2026-04-04 01:47:00,23,4,0,4,45,25.99,16.35,7515.72,80.03,0.44
FL1245,VT-012,PNQ,DEL,2026-04-04 02:32:00,2026-04-04 04:46:00,2,5,1,4,70,28.88,8.35,2836.54,71.82,0.79
FL1246,VT-012,BLR,HYD,2026-04-04 13:56:00,2026-04-04 15:16:00,13,5,1,4,39,30.24,19.18,8967.75,75.7,0.86
FL1247,VT-012,HYD,PNQ,2026-04-04 15:55:00,2026-04-04 17:47:00,15,5,1,4,58,27.41,11.79,8518.6,44.01,0.93
FL1248,VT-012,PNQ,DEL,2026-04-04 18:45:00,2026-04-04 19:53:00,18,5,1,4,53,35.27,14.05,7148.62,66.32,0.81
FL1249,VT-012,BLR,HYD,2026-04-05 04:46:00,2026-04-05 07:14:00,4,6,1,4,45,30.79,6.63,2482.82,52.36,0.41
FL1250,VT-012,HYD,PNQ,2026-04-05 07:59:00,2026-04-05 09:22:00,7,6,1,4,44,28.72,24.52,4695.17,49.11,0.85
FL1251,VT-012,PNQ,DEL,2026-04-05 10:06:00,2026-04-05 11:44:00,10,6,1,4,75,31.7,18.17,5985.57,67.77,0.8
FL1252,VT-013,BLR,HYD,2026-04-01 04:00:00,2026-04-01 06:08:00,4,2,0,4,45,30.15,8.99,7441.83,43.61,0.32
FL1253,VT-013,HYD,PNQ,2026-04-01 06:53:00,2026-04-01 09:15:00,6,2,0,4,71,30.48,10.15,5700.98,83.41,0.81
FL1254,VT-013,PNQ,DEL,2026-04-01 10:26:00,2026-04-01 11:27:00,10,2,0,4,82,28.07,11.92,4968.31,89.38,0.33
FL1255,VT-013,BLR,HYD,2026-04-01 20:49:00,2026-04-01 22:49:00,20,2,0,4,68,36.3,22.34,6629.4,61.93,0.81
FL1256,VT-013,HYD,PNQ,2026-04-01 23:57:00,2026-04-02 02:09:00,23,2,0,4,45,34.31,23.01,5373.77,53.84,0.71
FL1257,VT-013,PNQ,DEL,2026-04-02 02:54:00,2026-04-02 04:57:00,2,3,0,4,33,29.85,23.25,3685.3,71.15,0.74
FL1258,VT-013,BLR,HYD,2026-04-02 13:30:00,2026-04-02 15:54:00,13,3,0,4,70,27.5,19.32,9272.26,48.98,0.47
FL1259,VT-013,HYD,PNQ,2026-04-02 17:04:00,2026-04-02 18:25:00,17,3,0,4,73,31.58,24.43,3447.82,82.72,0.64
FL1260,VT-013,PNQ,DEL,2026-04-02 19:38:00,2026-04-02 21:20:00,19,3,0,4,60,32.17,13.91,6118.54,57.96,0.72
FL1261,VT-013,BLR,HYD,2026-04-03 06:20:00,2026-04-03 07:33:00,6,4,0,4,57,28.52,8.27,5128.65,88.47,0.48
FL1262,VT-013,HYD,PNQ,2026-04-03 08:30:00,2026-04-03 10:09:00,8,4,0,4,53,24.82,20.47,3046.99,88.49,0.62
FL1263,VT-013,PNQ,DEL,2026-04-03 11:02:00,2026-04-03 12:31:00,11,4,0,4,72,34.64,9.72,2587.97,48.49,0.66
FL1264,VT-013,BLR,HYD,2026-04-03 21:43:00,2026-04-03 23:57:00,21,4,0,4,36,33.99,13.62,3989.71,70.86,0.79
FL1265,VT-013,HYD,PNQ,2026-04-04 00:33:00,2026-04-04 02:07:00,0,5,1,4,70,28.02,8.34,3340.95,41.83,0.82
FL1266,VT-013,PNQ,DEL,2026-04-04 03:17:00,2026-04-04 05:24:00,3,5,1,4,80,28.71,21.88,8445.36,69.27,0.91
FL1267,VT-013,BLR,HYD,2026-04-04 14:44:00,2026-04-04 16:31:00,14,5,1,4,39,38.31,9.12,2895.36,53.49,0.34
FL1268,VT-013,HYD,PNQ,2026-04-04 17:10:00,2026-04-04 18:57:00,17,5,1,4,50,32.91,5.79,2976.88,62.61,0.95
FL1269,VT-013,PNQ,DEL,2026-04-04 19:47:00,2026-04-04 22:06:00,19,5,1,4,37,30.21,11.32,6057.88,42.08,0.4
FL1270,VT-013,BLR,HYD,2026-04-05 06:43:00,2026-04-05 08:04:00,6,6,1,4,80,33.67,14.09,6124.77,64.44,0.77
FL1271,VT-013,HYD,PNQ,2026-04-05 09:24:00,2026-04-05 11:48:00,9,6,1,4,86,31.39,7.79,2239.79,55.4,0.79
FL1272,VT-013,PNQ,DEL,2026-04-05 13:14:00,2026-04-05 14:47:00,13,6,1,4,46,32.45,24.4,2751.21,73.63,0.61
FL1273,VT-014,BOM,DEL,2026-04-01 06:00:00,2026-04-01 07:03:00,6,2,0,4,36,25.79,22.36,3417.2,74.63,0.89
FL1274,VT-014,DEL,CCU,2026-04-01 07:39:00,2026-04-01 09:24:00,7,2,0,4,54,30.6,14.94,6942.78,83.45,0.7
FL1275,VT-014,CCU,MAA,2026-04-01 10:18:00,2026-04-01 11:28:00,10,2,0,4,76,31.46,5.61,9447.59,74.48,0.77
FL1276,VT-014,BOM,DEL,2026-04-01 20:44:00,2026-04-01 22:42:00,20,2,0,4,86,32.55,12.88,7209.86,45.33,0.76
FL1277,VT-014,DEL,CCU,2026-04-02 00:08:00,2026-04-02 01:25:00,0,3,0,4,52,25.43,24.99,2385.7,88.86,0.58
FL1278,VT-014,CCU,MAA,2026-04-02 02:17:00,2026-04-02 03:30:00,2,3,0,4,75,31.29,16.34,7907.59,83.93,0.58
FL1279,VT-014,BOM,DEL,2026-04-02 12:45:00,2026-04-02 13:45:00,12,3,0,4,66,31.69,11.54,7340.75,80.39,0.83
FL1280,VT-014,DEL,CCU,2026-04-02 14:51:00,2026-04-02 16:13:00,14,3,0,4,74,28.81,21.36,2961.67,67.22,0.3
FL1281,VT-014,CCU,MAA,2026-04-02 17:27:00,2026-04-02 19:01:00,17,3,0,4,83,35.5,11.49,4931.69,59.81,0.79
FL1282,VT-014,BOM,DEL,2026-04-03 04:24:00,2026-04-03 05:45:00,4,4,0,4,78,26.03,9.75,4986.01,51.36,0.35
FL1283,VT-014,DEL,CCU,2026-04-03 07:03:00,2026-04-03 08:42:00,7,4,0,4,82,21.39,17.07,7345.7,70.97,0.62
FL1284,VT-014,CCU,MAA,2026-04-03 10:04:00,2026-04-03 12:00:00,10,4,0,4,75,33.93,15.38,5833.46,41.28,0.54
FL1285,VT-014,BOM,DEL,2026-04-03 21:15:00,2026-04-03 22:27:00,21,4,0,4,83,28.7,12.6,5190.58,69.01,0.67
FL1286,VT-014,DEL,CCU,2026-04-03 23:50:00,2026-04-04 01:26:00,23,4,0,4,38,35.54,21.26,7744.98,87.78,0.31
FL1287,VT-014,CCU,MAA,2026-04-04 02:04:00,2026-04-04 03:47:00,2,5,1,4,50,32.26,8.92,2060.5,72.37,0.93
FL1288,VT-014,BOM,DEL,2026-04-04 12:37:00,2026-04-04 14:43:00,12,5,1,4,63,30.42,6.21,9475.49,57.58,0.37
FL1289,VT-014,DEL,CCU,2026-04-04 15:46:00,2026-04-04 17:01:00,15,5,1,4,49,29.75,14.72,4054.21,54.24,0.52
FL1290,VT-014,CCU,MAA,2026-04-04 17:50:00,2026-04-04 19:52:00,17,5,1,4,76,30.72,11.23,6882.67,75.81,0.49
FL1291,VT-014,BOM,DEL,2026-04-05 05:08:00,2026-04-05 06:43:00,5,6,1,4,35,35.57,13.27,2975.09,49.06,0.78
FL1292,VT-014,DEL,CCU,2026-04-05 07:18:00,2026-04-05 08:54:00,7,6,1,4,33,30.42,19.18,2855.02,68.37,0.48
FL1293,VT-014,CCU,MAA,2026-04-05 09:27:00,2026-04-05 10:41:00,9,6,1,4,52,24.66,24.26,5868.37,80.3,0.69
FL1294,VT-015,BOM,DEL,2026-04-01 05:00:00,2026-04-01 06:31:00,5,2,0,4,67,30.5,24.03,6812.89,80.96,0.92
FL1295,VT-015,DEL,CCU,2026-04-01 07:38:00,2026-04-01 08:59:00,7,2,0,4,81,28.28,9.56,3696.36,70.55,0.59
FL1296,VT-015,CCU,MAA,2026-04-01 10:20:00,2026-04-01 11:57:00,10,2,0,4,63,25.02,20.61,4198.45,81.13,0.6
FL1297,VT-015,BOM,DEL,2026-04-01 21:00:00,2026-04-01 23:09:00,21,2,0,4,41,27.23,18.35,2764.28,71.19,0.62
FL1298,VT-015,DEL,CCU,2026-04-01 23:50:00,2026-04-02 00:59:00,23,2,0,4,86,25.25,19.74,8902.38,50.84,0.37
FL1299,VT-015,CCU,MAA,2026-04-02 02:25:00,2026-04-02 03:41:00,2,3,0,4,53,31.24,5.47,7135.77,70.35,0.68
FL1300,VT-015,BOM,DEL,2026-04-02 12:34:00,2026-04-02 13:40:00,12,3,0,4,33,27.77,16.89,5974.13,89.39,0.4
FL1301,VT-015,DEL,CCU,2026-04-02 14:13:00,2026-04-02 15:47:00,14,3,0,4,70,24.52,18.9,5234.55,61.41,0.8
FL1302,VT-015,CCU,MAA,2026-04-02 16:57:00,2026-04-02 19:02:00,16,3,0,4,66,32.28,10.48,2635.35,44.28,0.93
FL1303,VT-015,BOM,DEL,2026-04-03 04:08:00,2026-04-03 05:20:00,4,4,0,4,83,36.51,8.84,4586.97,51.33,0.55
FL1304,VT-015,DEL,CCU,2026-04-03 06:43:00,2026-04-03 08:37:00,6,4,0,4,65,30.14,6.35,8402.85,51.69,0.68
FL1305,VT-015,CCU,MAA,2026-04-03 09:42:00,2026-04-03 12:10:00,9,4,0,4,44,26.92,22.6,7207.02,66.65,0.53
FL1306,VT-015,BOM,DEL,2026-04-03 20:54:00,2026-04-03 22:49:00,20,4,0,4,36,34.91,24.88,7294.71,67.89,0.81
FL1307,VT-015,DEL,CCU,2026-04-03 23:25:00,2026-04-04 01:47:00,23,4,0,4,69,25.16,14.3,2481.14,68.11,0.97
FL1308,VT-015,CCU,MAA,2026-04-04 02:56:00,2026-04-04 04:25:00,2,5,1,4,88,32.16,9.02,6286.62,44.83,0.62
FL1309,VT-015,BOM,DEL,2026-04-04 13:53:00,2026-04-04 16:11:00,13,5,1,4,48,26.32,20.12,4780.57,73.25,0.86
FL1310,VT-015,DEL,CCU,2026-04-04 16:59:00,2026-04-04 18:36:00,16,5,1,4,36,25.63,24.85,9416.01,67.0,0.89
FL1311,VT-015,CCU,MAA,2026-04-04 19:12:00,2026-04-04 20:50:00,19,5,1,4,65,28.73,15.42,6988.69,44.46,0.83
FL1312,VT-015,BOM,DEL,2026-04-05 05:55:00,2026-04-05 07:45:00,5,6,1,4,49,30.53,20.64,7669.96,41.81,0.51
FL1313,VT-015,DEL,CCU,2026-04-05 08:34:00,2026-04-05 10:27:00,8,6,1,4,43,29.39,10.26,4881.09,44.38,0.96
FL1314,VT-015,CCU,MAA,2026-04-05 11:10:00,2026-04-05 13:33:00,11,6,1,4,84,22.66,12.94,5577.62,70.03,0.66
FL1315,VT-016,MAA,CCU,2026-04-01 01:00:00,2026-04-01 02:58:00,1,2,0,4,62,32.03,23.39,5975.71,89.61,0.9
FL1316,VT-016,CCU,DEL,2026-04-01 04:00:00,2026-04-01 05:58:00,4,2,0,4,53,30.33,12.61,9023.79,83.4,0.86
FL1317,VT-016,DEL,BOM,2026-04-01 06:51:00,2026-04-01 08:21:00,6,2,0,4,83,29.6,20.8,4437.43,44.05,0.58
FL1318,VT-016,MAA,CCU,2026-04-01 17:44:00,2026-04-01 19:42:00,17,2,0,4,62,32.15,11.92,9804.88,72.05,0.88
FL1319,VT-016,CCU,DEL,2026-04-01 20:44:00,2026-04-01 22:46:00,20,2,0,4,65,26.41,7.65,8896.12,86.14,0.64
FL1320,VT-016,DEL,BOM,2026-04-01 23:51:00,2026-04-02 02:17:00,23,2,0,4,64,35.56,8.5,6020.53,59.93,0.4
FL1321,VT-016,MAA,CCU,2026-04-02 11:21:00,2026-04-02 12:45:00,11,3,0,4,56,32.23,12.35,2545.38,41.29,0.39
FL1322,VT-016,CCU,DEL,2026-04-02 13:41:00,2026-04-02 15:23:00,13,3,0,4,56,30.23,24.32,5459.98,55.59,0.65
FL1323,VT-016,DEL,BOM,2026-04-02 16:19:00,2026-04-02 18:38:00,16,3,0,4,33,32.12,13.79,2845.32,72.04,0.45
FL1324,VT-016,MAA,CCU,2026-04-03 03:11:00,2026-04-03 05:10:00,3,4,0,4,71,36.12,8.04,2490.8,79.04,0.62
FL1325,VT-016,CCU,DEL,2026-04-03 06:21:00,2026-04-03 07:40:00,6,4,0,4,63,34.88,6.16,9958.93,42.89,0.79
FL1326,VT-016,DEL,BOM,2026-04-03 08:43:00,2026-04-03 11:03:00,8,4,0,4,52,27.55,18.84,2498.33,65.47,1.0
FL1327,VT-016,MAA,CCU,2026-04-03 19:55:00,2026-04-03 21:52:00,19,4,0,4,70,28.79,21.28,6921.76,55.31,0.74
FL1328,VT-016,CCU,DEL,2026-04-03 23:02:00,2026-04-04 00:51:00,23,4,0,4,38,19.78,7.61,9092.83,62.49,0.44
FL1329,VT-016,DEL,BOM,2026-04-04 01:29:00,2026-04-04 03:30:00,1,5,1,4,50,33.74,12.36,5313.04,81.38,0.81
FL1330,VT-016,MAA,CCU,2026-04-04 12:20:00,2026-04-04 14:37:00,12,5,1,4,79,27.69,5.38,4078.51,78.01,0.4
FL1331,VT-016,CCU,DEL,2026-04-04 15:56:00,2026-04-04 17:22:00,15,5,1,4,44,19.64,15.71,3721.61,40.61,0.47
FL1332,VT-016,DEL,BOM,2026-04-04 18:06:00,2026-04-04 19:39:00,18,5,1,4,38,29.94,7.19,6383.68,62.72,0.89
FL1333,VT-016,MAA,CCU,2026-04-05 04:17:00,2026-04-05 05:22:00,4,6,1,4,54,32.32,6.96,5905.93,47.5,0.53
FL1334,VT-016,CCU,DEL,2026-04-05 06:16:00,2026-04-05 07:48:00,6,6,1,4,68,29.31,12.52,5155.81,62.97,0.85
FL1335,VT-016,DEL,BOM,2026-04-05 08:56:00,2026-04-05 11:10:00,8,6,1,4,74,36.85,22.84,9642.68,79.35,0.52
FL1336,VT-017,BOM,DEL,2026-04-01 01:00:00,2026-04-01 02:39:00,1,2,0,4,55,27.58,10.09,8726.97,41.92,0.93
FL1337,VT-017,DEL,CCU,2026-04-01 03:34:00,2026-04-01 05:42:00,3,2,0,4,31,37.3,14.23,7097.61,72.97,0.93
FL1338,VT-017,CCU,MAA,2026-04-01 06:13:00,2026-04-01 07:57:00,6,2,0,4,65,35.21,6.33,6147.26,47.51,0.82
FL1339,VT-017,BOM,DEL,2026-04-01 17:02:00,2026-04-01 19:15:00,17,2,0,4,35,36.25,15.24,7441.82,42.08,0.36
FL1340,VT-017,DEL,CCU,2026-04-01 19:50:00,2026-04-01 21:32:00,19,2,0,4,70,28.54,6.43,2096.87,87.83,0.82
FL1341,VT-017,CCU,MAA,2026-04-01 22:42:00,2026-04-02 00:42:00,22,2,0,4,35,30.74,12.07,4372.28,57.49,0.84
FL1342,VT-017,BOM,DEL,2026-04-02 09:17:00,2026-04-02 11:41:00,9,3,0,4,84,25.81,8.48,2787.17,73.02,0.84
FL1343,VT-017,DEL,CCU,2026-04-02 13:05:00,2026-04-02 14:16:00,13,3,0,4,54,32.15,10.3,2167.56,44.11,0.98
FL1344,VT-017,CCU,MAA,2026-04-02 15:10:00,2026-04-02 17:15:00,15,3,0,4,64,33.98,17.49,5055.52,50.28,0.38
FL1345,VT-017,BOM,DEL,2026-04-03 02:19:00,2026-04-03 04:02:00,2,4,0,4,47,26.97,17.3,8197.07,72.2,0.67
FL1346,VT-017,DEL,CCU,2026-04-03 04:49:00,2026-04-03 06:52:00,4,4,0,4,81,27.43,24.6,6815.05,69.12,0.82
FL1347,VT-017,CCU,MAA,2026-04-03 08:13:00,2026-04-03 09:16:00,8,4,0,4,68,33.71,21.24,7251.83,46.4,0.54
FL1348,VT-017,BOM,DEL,2026-04-03 18:24:00,2026-04-03 20:43:00,18,4,0,4,88,25.82,13.79,6903.52,87.15,0.47
FL1349,VT-017,DEL,CCU,2026-04-03 22:11:00,2026-04-04 00:23:00,22,4,0,4,43,22.13,7.43,3579.76,84.35,0.75
FL1350,VT-017,CCU,MAA,2026-04-04 01:06:00,2026-04-04 02:43:00,1,5,1,4,49,33.44,22.23,8772.11,85.95,0.48
FL1351,VT-017,BOM,DEL,2026-04-04 11:32:00,2026-04-04 13:41:00,11,5,1,4,72,27.67,20.1,5684.32,82.1,0.81
FL1352,VT-017,DEL,CCU,2026-04-04 14:53:00,2026-04-04 16:34:00,14,5,1,4,64,32.65,8.55,6360.22,89.23,0.96
FL1353,VT-017,CCU,MAA,2026-04-04 17:38:00,2026-04-04 18:58:00,17,5,1,4,89,34.69,5.86,3318.52,46.59,0.81
FL1354,VT-017,BOM,DEL,2026-04-05 04:27:00,2026-04-05 06:35:00,4,6,1,4,47,27.89,15.12,8725.62,76.64,0.68
FL1355,VT-017,DEL,CCU,2026-04-05 07:22:00,2026-04-05 08:34:00,7,6,1,4,64,32.35,16.81,6066.88,54.88,0.7
FL1356,VT-017,CCU,MAA,2026-04-05 09:38:00,2026-04-05 11:37:00,9,6,1,4,87,33.01,17.73,8088.97,48.0,0.62
FL1357,VT-018,BOM,DEL,2026-04-01 00:00:00,2026-04-01 01:34:00,0,2,0,4,34,31.52,5.19,3973.43,76.32,0.99
FL1358,VT-018,DEL,CCU,2026-04-01 02:08:00,2026-04-01 04:32:00,2,2,0,4,60,29.16,21.0,3632.29,67.75,0.81
FL1359,VT-018,CCU,MAA,2026-04-01 05:32:00,2026-04-01 06:40:00,5,2,0,4,80,26.6,17.32,3504.2,57.77,0.85
FL1360,VT-018,BOM,DEL,2026-04-01 16:00:00,2026-04-01 18:08:00,16,2,0,4,38,29.46,20.22,2282.49,77.29,0.44
FL1361,VT-018,DEL,CCU,2026-04-01 18:46:00,2026-04-01 20:12:00,18,2,0,4,55,30.06,24.16,4943.53,56.35,0.4
FL1362,VT-018,CCU,MAA,2026-04-01 21:07:00,2026-04-01 23:32:00,21,2,0,4,31,32.89,24.93,4946.48,62.43,0.81
FL1363,VT-018,BOM,DEL,2026-04-02 08:03:00,2026-04-02 09:29:00,8,3,0,4,77,28.51,22.72,6744.35,59.58,0.59
FL1364,VT-018,DEL,CCU,2026-04-02 10:46:00,2026-04-02 12:53:00,10,3,0,4,57,23.9,20.88,2743.93,69.41,0.64
FL1365,VT-018,CCU,MAA,2026-04-02 13:50:00,2026-04-02 15:53:00,13,3,0,4,83,35.05,17.85,2518.83,69.0,0.69
FL1366,VT-018,BOM,DEL,2026-04-03 01:16:00,2026-04-03 02:39:00,1,4,0,4,82,38.25,18.53,8439.91,53.49,0.88
